date,data_type,estimate_type,median_R_mean,median_R_highHPD,median_R_lowHPD
2020-12-26,Non-B117,Cori_slidingWindow,0.5622087479958677,1.3848043591138899,0
2020-12-27,Non-B117,Cori_slidingWindow,0.48125965085499595,1.3157012935456238,0
2020-12-28,Non-B117,Cori_slidingWindow,0.4497620874194382,1.3458760738948394,0
2020-12-29,Non-B117,Cori_slidingWindow,0.46296706836576307,1.4887115523220955,0
2020-12-30,Non-B117,Cori_slidingWindow,0.5242286602261249,1.8337359800462965,0
2020-12-31,Non-B117,Cori_slidingWindow,0.6416938592588799,2.708021150517335,0
2021-01-01,Non-B117,Cori_slidingWindow,0.827443883157897,4.684434519300723,0
2021-01-02,Non-B117,Cori_slidingWindow,1.0866826661756084,8.32185133012984,0
2021-01-03,Non-B117,Cori_slidingWindow,1.3901236235980474,14.402854840562279,0
2021-01-04,Non-B117,Cori_slidingWindow,1.6692615506043815,13.907516283094777,0
2021-01-05,Non-B117,Cori_slidingWindow,1.8430634897032139,9.482637457044397,0
2021-01-06,Non-B117,Cori_slidingWindow,1.8589311807287945,6.53349516920426,0
2021-01-07,Non-B117,Cori_slidingWindow,1.7317212672242763,4.587979087656368,0
2021-01-08,Non-B117,Cori_slidingWindow,1.519664218168541,3.644217911040802,0
2021-01-09,Non-B117,Cori_slidingWindow,1.2849334299051516,3.1103377441584765,0
2021-01-10,Non-B117,Cori_slidingWindow,1.06819498715365,2.7867544787878176,0
2021-01-11,Non-B117,Cori_slidingWindow,0.8922665704761032,2.5244905741930133,0
2021-01-12,Non-B117,Cori_slidingWindow,0.7611806337020635,2.179991684522517,0
2021-01-13,Non-B117,Cori_slidingWindow,0.6722637509097177,1.822833568142741,0
2021-01-14,Non-B117,Cori_slidingWindow,0.6189963686395571,1.5899946386708028,0
2021-01-15,Non-B117,Cori_slidingWindow,0.5932675671699651,1.5114472657662419,0
2021-01-16,Non-B117,Cori_slidingWindow,0.586852673694373,1.5296994655855394,0
2021-01-17,Non-B117,Cori_slidingWindow,0.5922535215760587,1.5852495389800123,0
2021-01-18,Non-B117,Cori_slidingWindow,0.6060974488362973,1.640549625784417,0
2021-01-19,Non-B117,Cori_slidingWindow,0.6273842690597184,1.6744529374119883,0
2021-01-20,Non-B117,Cori_slidingWindow,0.6532077047457998,1.6679893010948907,0
2021-01-21,Non-B117,Cori_slidingWindow,0.6787818982648293,1.6753642032360156,0
2021-01-22,Non-B117,Cori_slidingWindow,0.7004460841301079,1.8675505166678557,0
2021-01-23,Non-B117,Cori_slidingWindow,0.7162286611445732,2.439225666571816,0
2021-01-24,Non-B117,Cori_slidingWindow,0.723730846084711,3.309345135454637,0
2021-01-25,Non-B117,Cori_slidingWindow,0.721424243999605,3.722166735595521,0
2021-01-26,Non-B117,Cori_slidingWindow,0.7103122592178386,4.227566340243626,0
2021-01-27,Non-B117,Cori_slidingWindow,0.6944291538440117,3.9260282665589505,0
2021-01-28,Non-B117,Cori_slidingWindow,0.6764754015222816,3.063583128771223,0
2021-01-29,Non-B117,Cori_slidingWindow,0.6601995517293928,3.067674502024202,0
2021-01-30,Non-B117,Cori_slidingWindow,0.6503181264524381,4.314806944579412,0
2021-01-31,Non-B117,Cori_slidingWindow,0.6514841392815031,5.619651925172958,0
2021-02-01,Non-B117,Cori_slidingWindow,0.6656345927313987,5.872775450643014,0
2021-02-02,Non-B117,Cori_slidingWindow,0.693478700563725,5.666391101596639,0
2021-02-03,Non-B117,Cori_slidingWindow,0.7329731782814329,6.032126800853155,0
2021-02-04,Non-B117,Cori_slidingWindow,0.7794616489172476,4.290402166141135,0
2021-02-05,Non-B117,Cori_slidingWindow,0.828556984355724,3.4732912116828425,0
2021-02-06,Non-B117,Cori_slidingWindow,0.8758441830263564,3.7070995821049104,0
2021-02-07,Non-B117,Cori_slidingWindow,0.9187667356949891,4.974415127648136,0
2021-02-08,Non-B117,Cori_slidingWindow,0.9526789433996381,6.200320751966022,0
2021-02-09,Non-B117,Cori_slidingWindow,0.9719858333900673,6.250233911420603,0
2021-02-10,Non-B117,Cori_slidingWindow,0.9722231160950462,5.0931106489822104,0
2021-02-11,Non-B117,Cori_slidingWindow,0.9495789717980545,3.939233010734717,0
2021-02-12,Non-B117,Cori_slidingWindow,0.9069749547965201,4.153482356966466,0
2021-02-13,Non-B117,Cori_slidingWindow,0.8512973185678147,4.420471121284713,0
2021-02-14,Non-B117,Cori_slidingWindow,0.7898681978773654,6.074981915481779,0
2021-02-15,Non-B117,Cori_slidingWindow,0.7269838495871093,5.884562317304978,0
2021-02-16,Non-B117,Cori_slidingWindow,0.6643160464521581,4.33721057082269,0
2021-02-17,Non-B117,Cori_slidingWindow,0.6022135340994882,3.2490508860108966,0
2021-02-18,Non-B117,Cori_slidingWindow,0.541565969175226,2.234382440728805,0
2021-02-19,Non-B117,Cori_slidingWindow,0.4822088366841418,2.0667631046682624,0
2021-02-20,Non-B117,Cori_slidingWindow,0.4227139268371609,2.5175530206932812,0
2021-02-21,Non-B117,Cori_slidingWindow,0.36185659056919056,2.2404298009732444,0
2021-02-22,Non-B117,Cori_slidingWindow,0.2986907796908943,1.9446090436018082,0
2020-12-24,Non-B117,Cori_step,1.0838170454453606,1.8128710558408476,0.3547630350498736
2020-12-25,Non-B117,Cori_step,1.0838170454453606,1.8128710558408476,0.3547630350498736
2020-12-26,Non-B117,Cori_step,1.0838170454453606,1.8128710558408476,0.3547630350498736
2020-12-27,Non-B117,Cori_step,1.0838170454453606,1.8128710558408476,0.3547630350498736
2020-12-28,Non-B117,Cori_step,1.0838170454453606,1.8128710558408476,0.3547630350498736
2020-12-29,Non-B117,Cori_step,1.0838170454453606,1.8128710558408476,0.3547630350498736
2020-12-30,Non-B117,Cori_step,1.0838170454453606,1.8128710558408476,0.3547630350498736
2020-12-31,Non-B117,Cori_step,1.0838170454453606,1.8128710558408476,0.3547630350498736
2021-01-01,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-02,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-03,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-04,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-05,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-06,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-07,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-08,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-09,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-10,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-11,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-12,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-13,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-14,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-15,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-16,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-17,Non-B117,Cori_step,1.0257815186576889,1.4946860814177405,0.5568769558976372
2021-01-18,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-01-19,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-01-20,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-01-21,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-01-22,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-01-23,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-01-24,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-01-25,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-01-26,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-01-27,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-01-28,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-01-29,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-01-30,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-01-31,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-02-01,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-02-02,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-02-03,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-02-04,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-02-05,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-02-06,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
2021-02-07,Non-B117,Cori_step,0.7060065580236309,1.026784464951696,0.3852286510955659
