date,data_type,estimate_type,median_R_mean,median_R_highHPD,median_R_lowHPD
2020-12-17,Non-B117,Cori_slidingWindow,0.9690716919713347,1.551127425804245,0.3870159581384245
2020-12-18,Non-B117,Cori_slidingWindow,0.881042414972617,1.4786836547437308,0.2834011752015033
2020-12-19,Non-B117,Cori_slidingWindow,0.8413974914783451,1.3272729006101711,0.35552208234651905
2020-12-20,Non-B117,Cori_slidingWindow,0.8356759289351151,1.1928369453685148,0.47851491250171535
2020-12-21,Non-B117,Cori_slidingWindow,0.8533566222999637,1.1232222387460766,0.5834910058538507
2020-12-22,Non-B117,Cori_slidingWindow,0.8863823308973884,1.1155119592823919,0.6572527025123848
2020-12-23,Non-B117,Cori_slidingWindow,0.9260189723182736,1.1656296791571938,0.6864082654793533
2020-12-24,Non-B117,Cori_slidingWindow,0.961983045936296,1.2593368621607022,0.6646292297118899
2020-12-25,Non-B117,Cori_slidingWindow,0.9845239708289287,1.343833938326262,0.6252140033315953
2020-12-26,Non-B117,Cori_slidingWindow,0.9889863501897944,1.3652774883750438,0.612695212004545
2020-12-27,Non-B117,Cori_slidingWindow,0.977327638610695,1.3275661676833401,0.62708910953805
2020-12-28,Non-B117,Cori_slidingWindow,0.954768114512031,1.2603019485169733,0.6492342805070888
2020-12-29,Non-B117,Cori_slidingWindow,0.9258620920531451,1.1893763953747027,0.6623477887315874
2020-12-30,Non-B117,Cori_slidingWindow,0.8948206036172446,1.1748644193850062,0.6147767878494831
2020-12-31,Non-B117,Cori_slidingWindow,0.8647296610928548,1.3291009564878211,0.40035836569788846
2021-01-01,Non-B117,Cori_slidingWindow,0.8364709615454109,1.5784185766202636,0.09452334647055827
2021-01-02,Non-B117,Cori_slidingWindow,0.8103583920640068,1.5290464089840197,0.0916703751439939
2021-01-03,Non-B117,Cori_slidingWindow,0.7885106819290353,1.2915884164984408,0.28543294735962976
2021-01-04,Non-B117,Cori_slidingWindow,0.7745278165016432,1.1116447870368373,0.43741084596644897
2021-01-05,Non-B117,Cori_slidingWindow,0.7699972209197805,1.0191437604194988,0.5208506814200622
2021-01-06,Non-B117,Cori_slidingWindow,0.773800203417726,0.9906819248103377,0.5569184820251144
2021-01-07,Non-B117,Cori_slidingWindow,0.7849769261801093,1.2279132231433594,0.3420406292168591
2021-01-08,Non-B117,Cori_slidingWindow,0.8017606867064848,1.7833302047630564,0
2021-01-09,Non-B117,Cori_slidingWindow,0.8210370573905776,1.8849647011279014,0
2021-01-10,Non-B117,Cori_slidingWindow,0.8403155260607301,1.5225125010251612,0.1581185510962989
2021-01-11,Non-B117,Cori_slidingWindow,0.858487527956047,1.2751478271469805,0.4418272287651135
2021-01-12,Non-B117,Cori_slidingWindow,0.8741896370449707,1.182194761353323,0.5661845127366183
2021-01-13,Non-B117,Cori_slidingWindow,0.886396115762461,1.1871701532794587,0.5856220782454633
2021-01-14,Non-B117,Cori_slidingWindow,0.8929114397963441,1.2899904571905287,0.49583242240215947
2021-01-15,Non-B117,Cori_slidingWindow,0.8919045214396287,1.6836339634111974,0.10017507946806015
2021-01-16,Non-B117,Cori_slidingWindow,0.8839606156192756,1.9392410292525186,0
2021-01-17,Non-B117,Cori_slidingWindow,0.8723271697829755,1.580329083648118,0.1643252559178331
2021-01-18,Non-B117,Cori_slidingWindow,0.8598846852766359,1.279172601725552,0.44059676882771975
2021-01-19,Non-B117,Cori_slidingWindow,0.8486716261213735,1.143785044037567,0.55355820820518
2021-01-20,Non-B117,Cori_slidingWindow,0.840837849902796,1.1123538972788756,0.5693218025267164
2021-01-21,Non-B117,Cori_slidingWindow,0.8369747374848303,1.2556115928991278,0.41833788207053285
2021-01-22,Non-B117,Cori_slidingWindow,0.8351588003504891,1.8283298983695109,0
2021-01-23,Non-B117,Cori_slidingWindow,0.8320662935946291,2.0114798349603866,0
2021-01-24,Non-B117,Cori_slidingWindow,0.8270756487517271,1.5564114847352828,0.09773981276817145
2021-01-25,Non-B117,Cori_slidingWindow,0.8201636492223328,1.2311581370915237,0.4091691613531418
2021-01-26,Non-B117,Cori_slidingWindow,0.811246877254685,1.091818058469935,0.530675696039435
2021-01-27,Non-B117,Cori_slidingWindow,0.7999955766979706,1.0338360983898789,0.5661550550060623
2021-01-28,Non-B117,Cori_slidingWindow,0.7882348104310124,1.0828226057398582,0.49364701512216663
2021-01-29,Non-B117,Cori_slidingWindow,0.776840131371731,1.2919704800389085,0.2617097827045536
2021-01-30,Non-B117,Cori_slidingWindow,0.7661395796788059,1.390282567968829,0.14199659138878262
2021-01-31,Non-B117,Cori_slidingWindow,0.7572711257197067,1.2625798509005173,0.25196240053889607
2021-02-01,Non-B117,Cori_slidingWindow,0.7526349496400945,1.115959163211563,0.38931073606862593
2021-02-02,Non-B117,Cori_slidingWindow,0.7535837686403056,1.0511728189387801,0.4559947183418311
2021-02-03,Non-B117,Cori_slidingWindow,0.7581403443643498,1.042542118183821,0.47373857054487856
2021-02-04,Non-B117,Cori_slidingWindow,0.7654437502637205,1.0862137954188817,0.4446737051085591
2021-02-05,Non-B117,Cori_slidingWindow,0.7750981429401405,1.4791515549200946,0.07104473096018615
2021-02-06,Non-B117,Cori_slidingWindow,0.7857150162900556,2.1985997266766475,0
2021-02-07,Non-B117,Cori_slidingWindow,0.795415481396076,1.9424443305238692,0
2021-02-08,Non-B117,Cori_slidingWindow,0.8027039626072549,1.3761381540565876,0.22926977115792213
2021-02-09,Non-B117,Cori_slidingWindow,0.8062659111791841,1.1093324067200145,0.5031994156383537
2021-02-10,Non-B117,Cori_slidingWindow,0.8051466504648604,1.0498551140934853,0.5604381868362355
2021-02-11,Non-B117,Cori_slidingWindow,0.7984793138995776,1.062049730836038,0.5349088969631173
2021-02-12,Non-B117,Cori_slidingWindow,0.7864486676989673,1.1485450602996103,0.42435227509832413
2021-02-13,Non-B117,Cori_slidingWindow,0.769335583773645,1.1521012937785255,0.38656987376876434
