date,data_type,sd,value
2020-12-09,Non-B117,502.4341500523904,1716.9333003439895
2020-12-10,Non-B117,804.6045327832312,2167.378747328853
2020-12-11,Non-B117,1128.7758303316334,2623.237558314643
2020-12-12,Non-B117,1456.5913661314034,3107.4993352393994
2020-12-13,Non-B117,1616.9043111171654,3561.1906823898826
2020-12-14,Non-B117,1498.5789171781416,3878.715818721077
2020-12-15,Non-B117,1349.5162381348805,4093.50026591222
2020-12-16,Non-B117,1339.2977078540823,4234.105550937629
2020-12-17,Non-B117,1591.0762383587987,4270.167210891954
2020-12-18,Non-B117,1896.4899441451698,4237.080590817269
2020-12-19,Non-B117,1895.4784849626496,4134.763125134448
2020-12-20,Non-B117,1768.597781516522,3959.654887779216
2020-12-21,B117,7.130177981752467,28.287796740855704
2020-12-21,Non-B117,1600.4802829108737,3772.7239661998838
2020-12-22,B117,8.46674511109508,34.18609185571687
2020-12-22,Non-B117,1426.4077866847902,3602.6978472284136
2020-12-23,B117,10.208102160076148,41.027653985869826
2020-12-23,Non-B117,1335.5028498247138,3458.5923526214615
2020-12-24,B117,11.825429019593365,48.61648558191593
2020-12-24,Non-B117,1243.7301713807008,3323.7166342905916
2020-12-25,B117,13.127398544215007,56.62152030652914
2020-12-25,Non-B117,1237.5760476260953,3200.9164021397264
2020-12-26,B117,14.834904181779306,65.0533553373341
2020-12-26,Non-B117,1292.6772824721577,3093.474167148336
2020-12-27,B117,16.703553722351174,73.29359621592235
2020-12-27,Non-B117,1283.4782768816585,2994.585113161196
2020-12-28,B117,18.625448965005727,81.32287635140659
2020-12-28,Non-B117,1236.6054281973106,2901.339923025136
2020-12-29,B117,20.624648565891942,89.35342008772494
2020-12-29,Non-B117,1111.5284425531838,2813.7757546779803
2020-12-30,B117,21.99344117414971,96.9178704897856
2020-12-30,Non-B117,1008.1195377880975,2740.117247188444
2020-12-31,B117,23.03590982004324,104.0735653156508
2020-12-31,Non-B117,1028.2403102717615,2670.364988821546
2021-01-01,B117,24.353467816681057,110.92411232608553
2021-01-01,Non-B117,1151.9591172298453,2582.399007894281
2021-01-02,B117,26.07191152447014,117.86215275002195
2021-01-02,Non-B117,1237.5787150105602,2476.681060484169
2021-01-03,B117,27.760798789618896,125.0715164907586
2021-01-03,Non-B117,1168.500399806833,2364.80752196084
2021-01-04,B117,29.515309239109722,132.38977546384095
2021-01-04,Non-B117,1073.9008732943485,2255.367135621738
2021-01-05,B117,31.581531563714673,139.66939428526942
2021-01-05,Non-B117,971.5299575030228,2154.702947675687
2021-01-06,B117,33.59103803586873,147.66447751488133
2021-01-06,Non-B117,816.2167810701071,2066.03136639119
2021-01-07,B117,35.015456814175515,156.99785518779265
2021-01-07,Non-B117,675.619972606607,1993.5535394595347
2021-01-08,B117,36.48673270554092,167.36300555397742
2021-01-08,Non-B117,622.131000830174,1929.2078668635106
2021-01-09,B117,38.873524284493286,178.48301714453928
2021-01-09,Non-B117,629.5356000564266,1860.6400582013036
2021-01-10,B117,42.067488584961495,189.91484196035987
2021-01-10,Non-B117,645.2042600444902,1788.6224500888243
2021-01-11,B117,45.38511355594739,201.95295859909467
2021-01-11,Non-B117,621.6612524360095,1720.6429299532563
2021-01-12,B117,49.39921069551645,215.44866227741534
2021-01-12,Non-B117,581.8231251316595,1665.0695442208828
2021-01-13,B117,52.841867672339646,230.0499991407934
2021-01-13,Non-B117,586.5809741098103,1623.5110435866277
2021-01-14,B117,55.741481668543535,245.4214255772497
2021-01-14,Non-B117,634.033110693689,1584.7941098291083
2021-01-15,B117,59.47650329308068,261.97980950363564
2021-01-15,Non-B117,721.385688634165,1545.5244693900647
2021-01-16,B117,62.85489004449106,279.3687554748828
2021-01-16,Non-B117,763.293317568868,1500.826403953461
2021-01-17,B117,66.68434505816991,297.4614709160822
2021-01-17,Non-B117,749.9628905359361,1448.404392281028
2021-01-18,B117,71.86200573489945,316.1167609938107
2021-01-18,Non-B117,725.9842283338204,1390.992265553608
2021-01-19,B117,77.2170773631121,333.8948743092287
2021-01-19,Non-B117,651.2484800162028,1336.5045491984504
2021-01-20,B117,80.98926060845311,350.1684488839439
2021-01-20,Non-B117,559.5126496861673,1291.4323222978064
2021-01-21,B117,84.7383369457289,366.10159319115354
2021-01-21,Non-B117,505.44572607284164,1248.567399188075
2021-01-22,B117,88.57299073755657,383.14223485801404
2021-01-22,Non-B117,510.10074731107017,1200.5393134104743
2021-01-23,B117,92.6252245797919,399.7344082868531
2021-01-23,Non-B117,535.221872433219,1145.804099457911
2021-01-24,B117,98.17617515392377,414.25283434463614
2021-01-24,Non-B117,506.16598998404606,1086.7566641623782
2021-01-25,B117,103.36579664057652,427.3570960873083
2021-01-25,Non-B117,468.9898350316503,1028.7971745637062
2021-01-26,B117,107.75813607001106,439.392050660015
2021-01-26,Non-B117,425.3351387264859,974.1949420691037
2021-01-27,B117,111.93843747507131,450.75677663375143
2021-01-27,Non-B117,359.43794194200257,922.4755553092967
2021-01-28,B117,115.29455040801976,463.2896464671413
2021-01-28,Non-B117,307.2207286071465,877.1129665666161
2021-01-29,B117,116.62282386624075,476.9226670838841
2021-01-29,Non-B117,282.96404722858296,831.1492890935973
2021-01-30,B117,118.27826709713689,489.3954657207256
2021-01-30,Non-B117,292.7772766046539,780.4496069464246
2021-01-31,B117,121.13991329191937,500.52118591527
2021-01-31,Non-B117,306.3133902077952,732.3137370524109
2021-02-01,B117,123.91905507362496,512.3648539551323
2021-02-01,Non-B117,296.5747297807878,689.2684353545746
2021-02-02,B117,124.42778175932328,525.3589528854627
2021-02-02,Non-B117,258.37127963014683,649.5877501208686
2021-02-03,B117,120.83761760389687,539.0334988876472
2021-02-03,Non-B117,204.319878276038,611.4808226618263
2021-02-04,B117,116.93852715314436,553.4631223305845
2021-02-04,Non-B117,185.4280983635664,579.0435564532088
2021-02-05,B117,116.98845509419402,568.8463916070989
2021-02-05,Non-B117,187.35014173506679,550.5333229988117
2021-02-06,B117,122.03879984057508,586.5541548900305
2021-02-06,Non-B117,194.48746631798846,522.0620166934751
2021-02-07,B117,132.20334626821062,606.9848595900058
2021-02-07,Non-B117,187.7283062986723,491.7149506277444
2021-02-08,B117,148.1807337140384,628.8016335550824
2021-02-08,Non-B117,169.81135449773723,459.89529434432944
2021-02-09,B117,168.08109396309723,650.5142852873406
2021-02-09,Non-B117,158.3893916829508,427.45885020027885
2021-02-10,B117,191.09636615812164,672.5835236173568
2021-02-10,Non-B117,157.06042216684529,395.4938180137634
2021-02-11,B117,218.2522564367545,696.2083931472798
2021-02-11,Non-B117,165.16910372135192,362.8590200837981
2021-02-12,B117,248.3205868353683,720.753737712966
2021-02-12,Non-B117,178.91323474470528,329.8372071391242
2021-02-13,B117,279.82568725685746,745.6396687962485
2021-02-13,Non-B117,196.1313362520311,297.5302838221787
